odel initialized
Skipping user 8 as not enough periods (4862)
08/23/17 00:33:10 Sample 27 of 50 Precision 0.4 Recall 0.667

08/23/17 00:36:27 Sample 28 of 50 Precision 0.875 Recall 1.0

08/23/17 00:39:40 Sample 29 of 50 Precision 0.75 Recall 0.75

08/23/17 00:42:50 Sample 30 of 50 Precision 0.429 Recall 0.6

08/23/17 00:46:03 Sample 31 of 50 Precision 0.667 Recall 0.5

08/23/17 00:49:15 Sample 32 of 50 Precision 1.0 Recall 0.75

08/23/17 00:52:26 Sample 33 of 50 Precision 1.0 Recall 0.75

08/23/17 00:55:36 Sample 34 of 50 Precision 1.0 Recall 0.5

08/23/17 00:58:52 Sample 35 of 50 Precision 0.75 Recall 1.0

08/23/17 01:02:07 Sample 36 of 50 Precision 0.833 Recall 0.833

08/23/17 01:05:20 Sample 37 of 50 Precision 1.0 Recall 1.0

08/23/17 01:08:37 Sample 38 of 50 Precision 0.5 Recall 0.5

08/23/17 01:11:53 Sample 39 of 50 Precision 0.833 Recall 0.833

08/23/17 01:15:04 Sample 40 of 50 Precision 1.0 Recall 1.0

08/23/17 01:18:17 Sample 41 of 50 Precision 0.833 Recall 1.0

08/23/17 01:21:31 Sample 42 of 50 Precision 0.75 Recall 0.5

08/23/17 01:24:46 Sample 43 of 50 Precision 0.571 Recall 0.8

08/23/17 01:28:02 Sample 44 of 50 Precision 0.5 Recall 0.75

08/23/17 01:31:16 Sample 45 of 50 Precision 0.833 Recall 0.833

08/23/17 01:34:32 Sample 46 of 50 Precision 0.8 Recall 1.0

08/23/17 01:37:45 Sample 47 of 50 Precision 1.0 Recall 0.75

08/23/17 01:40:57 Sample 48 of 50 Precision 0.857 Recall 1.0

08/23/17 01:44:08 Sample 49 of 50 Precision 1.0 Recall 1.0

08/23/17 01:44:19 UserID 91 Test: Precision 0.6 Recall 1.0

             precision    recall  f1-score   support

        0.0       1.00      0.91      0.95        44
        1.0       0.60      1.00      0.75         6

avg / total       0.95      0.92      0.93        50

08/23/17 01:44:19 User 3 UserID 31 (Total plays [4787])
08/23/17 01:47:32 Sample 0 of 50 Precision 1.0 Recall 0.75

08/23/17 01:50:48 Sample 1 of 50 Precision 1.0 Recall 0.714

08/23/17 01:54:05 Sample 2 of 50 Precision 0.833 Recall 0.714

08/23/17 01:57:18 Sample 3 of 50 Precision 1.0 Recall 1.0

08/23/17 02:00:32 Sample 4 of 50 Precision 0.667 Recall 0.8

08/23/17 02:03:45 Sample 5 of 50 Precision 0.667 Recall 0.667

08/23/17 02:06:58 Sample 6 of 50 Precision 1.0 Recall 0.333

08/23/17 02:10:15 Sample 7 of 50 Precision 0.8 Recall 1.0

08/23/17 02:13:24 Sample 8 of 50 Precision 0.625 Recall 0.833

08/23/17 02:16:41 Sample 9 of 50 Precision 0.889 Recall 1.0

08/23/17 02:19:56 Sample 10 of 50 Precision 0.8 Recall 0.8

08/23/17 02:23:16 Sample 11 of 50 Precision 0.714 Recall 0.833

08/23/17 02:26:26 Sample 12 of 50 Precision 0.8 Recall 0.8

08/23/17 02:29:40 Sample 13 of 50 Precision 0.667 Recall 0.8

08/23/17 02:32:54 Sample 14 of 50 Precision 0.727 Recall 1.0

08/23/17 02:36:06 Sample 15 of 50 Precision 1.0 Recall 1.0

08/23/17 02:39:18 Sample 16 of 50 Precision 0.8 Recall 1.0

08/23/17 02:42:34 Sample 17 of 50 Precision 0.909 Recall 0.769

08/23/17 02:45:50 Sample 18 of 50 Precision 1.0 Recall 0.4

08/23/17 02:49:13 Sample 19 of 50 Precision 1.0 Recall 1.0

08/23/17 02:53:09 Sample 20 of 50 Precision 0.8 Recall 0.889

08/23/17 02:58:11 Sample 21 of 50 Precision 1.0 Recall 0.667

08/23/17 03:01:30 Sample 22 of 50 Precision 0.833 Recall 1.0

08/23/17 03:04:48 Sample 23 of 50 Precision 1.0 Recall 0.889

08/23/17 03:08:06 Sample 24 of 50 Precision 0.8 Recall 1.0

08/23/17 03:11:22 Sample 25 of 50 Precision 0.8 Recall 0.8

08/23/17 03:14:45 Sample 26 of 50 Precision 0.8 Recall 1.0

08/23/17 03:18:10 Sample 27 of 50 Precision 1.0 Recall 0.5

08/23/17 03:21:28 Sample 28 of 50 Precision 0.455 Recall 0.833

08/23/17 03:24:45 Sample 29 of 50 Precision 1.0 Recall 1.0

08/23/17 03:27:57 Sample 30 of 50 Precision 0.0 Recall 0.0

08/23/17 03:31:14 Sample 31 of 50 Precision 0.667 Recall 0.667

08/23/17 03:34:32 Sample 32 of 50 Precision 0.875 Recall 0.875

08/23/17 03:37:48 Sample 33 of 50 Precision 0.714 Recall 0.833

08/23/17 03:41:06 Sample 34 of 50 Precision 1.0 Recall 1.0

08/23/17 03:44:25 Sample 35 of 50 Precision 1.0 Recall 0.667

08/23/17 03:47:39 Sample 36 of 50 Precision 0.5 Recall 0.5

08/23/17 03:50:54 Sample 37 of 50 Precision 0.75 Recall 0.6

08/23/17 03:54:14 Sample 38 of 50 Precision 0.889 Recall 1.0

08/23/17 03:57:30 Sample 39 of 50 Precision 0.75 Recall 0.75

08/23/17 04:00:44 Sample 40 of 50 Precision 0.889 Recall 1.0

08/23/17 04:03:57 Sample 41 of 50 Precision 0.5 Recall 1.0

08/23/17 04:07:40 Sample 42 of 50 Precision 0.667 Recall 1.0

08/23/17 04:10:44 Sample 43 of 50 Precision 0.667 Recall 0.8

08/23/17 04:14:45 Sample 44 of 50 Precision 0.7 Recall 0.778

08/23/17 04:19:13 Sample 45 of 50 Precision 1.0 Recall 0.75

08/23/17 04:22:25 Sample 46 of 50 Precision 1.0 Recall 0.667

